Listing Number,Year,Reg,Make,Model,Colour,Description,Buy Price,List Price,Odometer (KPH),0-62 kph,Engine,Fuel,Transmission,Body,Isofix,Motor Tax,Previous Owners,Sales Person,Sales Person Phone,Sales Person Email,Sales Person Fax,Last Previous Owners Name,Last Previous Owner Address,Last Previous Owner Phone,Full Service History,Note
4294194,2020 (201),202-CE-853,Opel,Elite 2.0D 170 Auto,Black,"Highlights includes twin-spoke alloy wheels, IntelliLux LED matrix headlights, Front fog lights, Dark-tinted rear windows, Ergonomic active front seats, Leather seat facings, Heated front seats, 8-inch colour information display, Multimedia Navi Pro infotainment system with fully integrated European sat nav system, 8-inch colour touchscreen, AM/FM/DAB digital radio, Bluetooth? audio streaming / mobile phone portal, Apple CarPlay / Android Auto, USB audio connection, Seven speakers (five front, two rear), Dual-zone electronic climate control, Illuminated vanity mirrors, Storage pockets on front seat backs, Ambient LED lighting in front doors, Twin rear USB sockets, Auto-dimming rear-view mirror and more",36799,39999,25462,9 seconds,2.0,Diesel,Automatic,Hatchback,No,270,1,Dave Lindale,061 208209,dave.lindale@moylishmotors.ie,061 209209,Barry O'Brien,"St Barts, O'Connell Avenue, Limerick",087 6645257,N,"Reduced from ?41,000"
4294195,2019 (191),119-L-7896,Hyundai ,i30 i30N 2.0 T-GDi,Grey,"Hyundai i30N 271Bhpÿfour-cylinder 2.0 T-GDi engine,ÿHighlights includeÿABS, Passenger Airbag, Air Conditioning, Alarm, 19' Alloys, Armrest, Auto Lights and Wipers, Bluetooth Phone, Child Locks, Cruise Control, Dual Climate Control, Electrically Adjustable Seats, Electric Mirrors, Electric Windows, Heated Seats, Immobilizer, ISO Fix, Lumbar Support, Multi-Function Steering Wheel, Power Steering, Satellite Navigation, Stop and Start System, USB, Rear Parking Sensors, Auto Dimming Rear View Mirror, Leather Steering Wheel, Auto Lights, Auxiliary Jack Input, Traction Control, Adjustable seats, Remote controlled alarm, Adjustable steering column/wheel, Foglights, Height adjustable drivers seat, Mirrors electric and heated, Outside temperature meter, Rain sensor, Rear headrests, Traction control, Media Connection, iPod Connection, Auto Wipers, Leather Gear Lever, Car History Checked, Finance Available, auto  stop/start, reversing camera, Apple CarPlay, Android Auto and much more ",32200,35000,19855,9.6 seconds,2.0,Petrol,Manual,Hatchback,Yes,270,1,Connie Jackson,061 208208,connie.jackson@moylishmotors.ie,061 209208,Fergal Keegan,"34 Ferndale, Ennis Road, Limerick",086 5547874,Y,
4294196,2016 (161),161-T-365,Toyota,Rav4 Luna 2.0D-4D,Slate,"Highlights include reversing camera ,alloy wheels, abs brakes, fog lights bluetooth isofix points multiple airbags cloth trim electric windows and wing mirrors automatic headlights, immobiliser and cruise control.",18308,19900,85411,8.5 seconds,2.0,Diesel,Manual,SUV,Yes,270,1,Dave Lindale,061 208209,dave.lindale@moylishmotors.ie,061 209209,Dorota Kowalski ,"1 Kimberley Villas, Millitary Hill, Ennis",083 6684774,Y,
4294197,2018 (181),181-L-368,Hyundai ,i30 Deluxe 1.6TD,Sky Blue,"Air Conditioning, Central Locking, Electric Windows, Cruise Control, Fog Lamps, Rear Spoiler, Multi-function steering wheel, Parking Sensors, Bluetooth, EBD, Isofix, Stop/Start Button",18400,20000,875471,10 seconds,1.6,Diesel,Automatic,Hatchback,Yes,190,2,Mary McKeown,061 208207,mary.mckeown@moylishmotors.ie,061 207207,Jaqueline Freeman,"8 Ashwood, Seacrest, Shangort Road, Knocknacarra, Galway",083 4125874,N,****DEPOSIT TAKEN (?1500) R Tierney (083 8454752)****
4294198,2014 (141),141-G-642,Volvo,S60 D2 SE 1.6TD,Dark Grey,"ABS, Air Conditioning, Alloy Wheels, Armrest, Climate Control, Cruise Control, Electric Mirrors, Electric Windows, Immobilizer, ISO Fix, Metallic Paint, Multi-Function Steering Wheel, Power Steering, Side Impact Protection, Multiple Airbags, 3x3point rear seat belts, Adjustable seats, Adjustable steering wheel,",11960,13000,124004,10.6 seconds,1.6,Diesel,Manual,Saloon,Yes,190,3,Dave Lindale,061 208209,dave.lindale@moylishmotors.ie,061 209209,Lisa Munroe,"165 Ivy Exchange, Parnell Street, Limerick",087 4578543,N,
4294199,2013 (131),131-L-974,Peugeot,1.6 HDI ACTIVE 113BHP,Charcoal,"Air Conditioning, Central Locking, CD Player, Electric Windows, Cruise Control, Fog Lamps, Immobiliser, Centre Armrest, Multi-function steering wheel, Traction Control Metallic Paint, Multiple Air Bags, Parking Sensors, Trade in accepted, Bluetooth, EBD, Isofix, Active Braking System",8280,9000,240000,12 seconds,1.6,Diesel,Manual,MPV,Yes,270,2,Bianca Davies,061 208206,bianca.davie@moylishmotors.ie,061 209206,Catherine Fitzgibbon,"29 Riverbank Hall, Addison Park, Glasnevin, Dublin",086 6634785,N,
4294200,2019 (191),191-D-87452,Volkswagen ,Up!,White,"Daytime Running Lights, ESP, ISO Fix, Multiple Airbags, Immobilizer, Auto Lights and Wipers, Remote Central Locking, Adjustable Steering Column, Auxiliary Socket, Bluetooth Phone, Split Fold Rear Seats, USB.ÿComes fully prepared, serviced & valeted",11040,12000,8900,Info not available,1.0,Petrol,Manual,Hatchback,No,180,1,Terry Dunlee,061 208205,terry.dunlee@moylishmotors.ie,061 209205,Joe Crawley,"10 Bloomfield, Monaleen, Limerick",086 9987456,Y,
4294201,2015 (151),15-L-15,Ford,Focus TITANIUM 1.6TDCI 115PS,Silver,"r Conditioning, Central Locking, Electric Windows, Cruise Control, Fog Lamps, Centre Armrest, Multi-function steering wheel, Traction Control, Metallic Paint, Bluetooth, EBD, Isofix, Active Braking System, Touch Button Start, Touch Screen Infotainment sysytem",11684,12700,119875,9.1 seconds,1.6,Diesel,Manual,Saloon,Yes,190,2,Dave Lindale,061 208209,dave.lindale@moylishmotors.ie,061 209209,Ruth OBrien,"6 Newtown Park, Annacotty, Limerick",087 1247856,N,
4294202,2017 (171),171-L-2753,Nissan ,NOTE 1.5 SV,Cherry,"issan Note SV model 1.5dci Spec includes CD Player, Bluetooth Connectivity, Air Conditioning, Cruise Control, Speed Limiter, Idle Stop Start System, Onboard Computer, Power Steering, Multi-Function Steering Wheel, Adjustable Steering Wheel, Sliding Rear Seat, Rear Folding Seats - 40:60 Split, Rear Headrests, Front Centre Armrest, Electric Windows, Electric Mirrors, Fog Lamps ",13064,14200,39452,Info not available,1.5,Diesel,Manual,MPV,Yes,180,1,Dave Lindale,061 208209,dave.lindale@moylishmotors.ie,061 209209,Robert Clancy,"88 Lagmore Glen, Limerick",087 6235395,N,****DEPOSIT TAKEN (?500) A Boyle (086 3414752)****
4294203,2010,10-L-471,Renault ,Clio 1.2 16V ROYALE ECO,Brown,"Air Conditioning, Central Locking, Electric Windows, Fog Lamps, Privacy Glass, Multi-function steering wheel, EBD, Isofix",4600,5000,180000,16 seconds,1.1,Petrol,Manual,Hatchback,Yes,280,3,Terry Dunlee,061 208205,terry.dunlee@moylishmotors.ie,061 209205,Phillip Rose,"26 Lawrence Hill, Caherdavin, Limerick",087 1025175,N,
